date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:28:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2005%20Feb%202022%2004:28:04%20GMT	https://ingridkuhn.com/robots.txt		(from )
05:28:03	100270/100270	---M-Z	200	added ('OK')	text/html	etag:%22187ae-5c803363de0c0-gzip%22	https://ingridkuhn.com/themes/alphabet/	C:/My%20Web%20Sites/Daycare2/ingridkuhn.com/themes/alphabet/index.html	(from )
05:28:04	122544/122544	---MCZ	200	added ('OK')	text/css	etag:W/%225f23febe-1deb0%22	https://ingridkuhn.com/themes/alphabet/css/bootstrap.css	C:/My%20Web%20Sites/Daycare2/ingridkuhn.com/themes/alphabet/css/bootstrap.css	(from https://ingridkuhn.com/themes/alphabet/)
05:28:04	23742/23742	---MCZ	200	added ('OK')	text/css	etag:W/%225f23ff4e-5cbe%22	https://ingridkuhn.com/themes/alphabet/fonts/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/Daycare2/ingridkuhn.com/themes/alphabet/fonts/font-awesome/css/font-awesome.min.css	(from https://ingridkuhn.com/themes/alphabet/)
05:28:04	2604/2604	---MCZ	200	added ('OK')	text/css	etag:W/%225f23ff3d-a2c%22	https://ingridkuhn.com/themes/alphabet/fonts/flaticons/flaticon.css	C:/My%20Web%20Sites/Daycare2/ingridkuhn.com/themes/alphabet/fonts/flaticons/flaticon.css	(from https://ingridkuhn.com/themes/alphabet/)
05:28:04	13236/13236	---MCZ	200	added ('OK')	text/css	etag:W/%225f23ff40-33b4%22	https://ingridkuhn.com/themes/alphabet/fonts/glyphicons/bootstrap-glyphicons.css	C:/My%20Web%20Sites/Daycare2/ingridkuhn.com/themes/alphabet/fonts/glyphicons/bootstrap-glyphicons.css	(from https://ingridkuhn.com/themes/alphabet/)
05:28:05	67935/67935	---MCZ	200	added ('OK')	text/css	etag:W/%225f23febf-1095f%22	https://ingridkuhn.com/themes/alphabet/css/style.css	C:/My%20Web%20Sites/Daycare2/ingridkuhn.com/themes/alphabet/css/style.css	(from https://ingridkuhn.com/themes/alphabet/)
05:28:05	4020/4020	---MCZ	200	added ('OK')	text/css	etag:W/%225f23fef4-fb4%22	https://ingridkuhn.com/themes/alphabet/styles/funtime.css	C:/My%20Web%20Sites/Daycare2/ingridkuhn.com/themes/alphabet/styles/funtime.css	(from https://ingridkuhn.com/themes/alphabet/)
05:28:05	4830/4830	---MCZ	200	added ('OK')	text/css	etag:W/%225f23febe-12de%22	https://ingridkuhn.com/themes/alphabet/css/owl.carousel.css	C:/My%20Web%20Sites/Daycare2/ingridkuhn.com/themes/alphabet/css/owl.carousel.css	(from https://ingridkuhn.com/themes/alphabet/)
05:28:05	19784/19784	---MCZ	200	added ('OK')	text/css	etag:W/%225f23febe-4d48%22	https://ingridkuhn.com/themes/alphabet/css/prettyPhoto.css	C:/My%20Web%20Sites/Daycare2/ingridkuhn.com/themes/alphabet/css/prettyPhoto.css	(from https://ingridkuhn.com/themes/alphabet/)
